dish_name,sweet,salty,sour,bitter,umami
aac,10,30,10,10,40
aac asparagus avocado and cucumber,15,20,5,10,30
aac roll,20,60,10,10,70
aac shiitake cucumber and peanut avocado rolls,20,30,10,10,60
aachari paneer roll,20,60,40,10,70
aadu chukka,10,60,20,20,40
aago biryani,10,80,20,10,70
aago hyderabadi chicken,20,60,30,10,70
aago mix grill,10,70,10,10,80
aago non vegetable,0,70,0,10,20
aago vegetable,10,30,0,20,40
aakkoset,40,20,0,10,30
aalborg,10,30,0,20,40
aalo mutter curry,20,40,10,10,60
aalo mutter korma,20,30,10,10,40
aalo palak,10,60,10,20,30
aaloo tama soup,10,40,30,20,60
aalu,10,60,0,10,20
aalu byngun,10,60,20,20,40
aalu deep fry,5,70,5,10,20
aalu gobhi fry,10,60,10,20,30
aalu kurma,20,40,0,10,30
aalu menthi fry,10,40,0,20,30
aalu tama bodi,10,40,50,20,30
aalu tomato curry,20,60,30,10,40
aam adarak gosht,20,30,0,10,40
aam aur bhel chat,40,70,60,10,20
aam chutni,70,20,100,10,0
aam lassi,70,10,10,5,5
aam palak chaat,40,60,70,20,30
aam panna,60,20,80,10,30
aam ras halwa,80,10,5,5,20
aamchuri baby eggplant,40,20,60,10,30
aanda curry,30,60,40,20,70
aapam,30,20,5,10,15
aapam paya,40,30,0,10,20
aaron,10,30,0,20,40
aaron catering,20,30,0,10,40
aarrearkku,40,20,0,10,30
aaryas seafood alfredo,20,60,10,10,80
aasada,20,60,10,10,70
aash reshteh,10,60,10,20,40
aashak,10,40,20,10,20
aatishi boti kabab,10,70,10,10,80
aattukaal soup,10,30,10,10,40
aay,40,20,0,10,30
abac lo mein kway teow ree mao,10,60,30,20,80
abacha delicacy,10,60,30,20,40
abacon lettuce tomato rancher,10,60,0,10,20
abadia de san campio albarino spain,40,20,50,10,30
abadia retuerta sardon de duero,10,20,5,40,60
abalone,10,80,5,20,90
abalone porridge,10,60,0,10,80
abalone shell,10,60,10,20,80
abasolo,10,20,0,30,40
abasolo mexican corn whisky,40,10,50,20,30
abasolo whiskey,0,0,0,0,0
abbaee soondae,10,70,0,20,60
abbaee wang soonadae,10,70,5,20,80
abbazia novacella gewurztraminer alto adige valle italy,70,10,40,20,30
abbazia novacella gewürztraminer alto adige valle italy,70,10,40,20,30
abbazia novacella kerner,60,20,10,30,40
abbey,40,20,0,10,30
abbey black and blue burger,10,60,10,20,80
abbey chardonnay napa valley california united states,40,10,50,20,30
abbey dog,40,20,0,10,30
abbey flatbread,10,30,5,10,20
abbey merlot napa valley california united states,60,20,10,30,40
abbey wings,20,70,10,10,30
abbeys key lime pie,70,10,10,5,5
abbeys marinated steak,20,70,10,10,90
abbracci,60,20,5,10,30
abbruzzese,10,60,20,20,40
