dish_name,raw_ingredient,amount,unit
aac,water,100,milliliters
aac,salt,5,grams
aac,fermented soybeans,200,grams
aac asparagus avocado and cucumber,avocado,1,piece
aac asparagus avocado and cucumber,cucumber,1,piece
aac asparagus avocado and cucumber,asparagus,200,g
aac roll,avocado,1,piece
aac roll,cucumber,0.5,piece
aac roll,crab meat,100,grams
aac roll,sushi rice,1,cup
aac roll,seaweed,2,sheets
aac shiitake cucumber and peanut avocado rolls,salt,1,teaspoon
aac shiitake cucumber and peanut avocado rolls,avocado,1,ripe
aac shiitake cucumber and peanut avocado rolls,shiitake mushrooms,6,pieces
aac shiitake cucumber and peanut avocado rolls,sugar,1,tablespoon
aac shiitake cucumber and peanut avocado rolls,peanuts,1,cup
aac shiitake cucumber and peanut avocado rolls,sushi rice,1,cup
aac shiitake cucumber and peanut avocado rolls,rice vinegar,2,tablespoons
aac shiitake cucumber and peanut avocado rolls,cucumber,1,medium
aac shiitake cucumber and peanut avocado rolls,nori sheets,4,sheets
aachari paneer roll,pickles,3,tablespoons
aachari paneer roll,capsicum,1,medium
aachari paneer roll,yogurt,2,tablespoons
aachari paneer roll,spices,1,teaspoon
aachari paneer roll,onion,1,medium
aachari paneer roll,paneer,200,grams
aachari paneer roll,flour tortillas,4,pieces
aadu chukka,Curry leaves,10,leaves
aadu chukka,Turmeric powder,1,tsp
aadu chukka,Red chili powder,1,tsp
aadu chukka,Ginger,1,inch piece
aadu chukka,Garam masala,1,tsp
aadu chukka,Onion,2,medium
aadu chukka,Oil,2,tbsp
aadu chukka,Salt,1,tsp
aadu chukka,Goat meat,500,grams
aadu chukka,Green chilies,2,
aadu chukka,Tomato,2,medium
aadu chukka,Garlic,6,cloves
aadu chukka,Coriander powder,1,tbsp
aago biryani,yogurt,1,cup
aago biryani,ghee,3,tablespoons
aago biryani,"spices (e.g. cumin, coriander, turmeric, garam masala)",1,tablespoon
aago biryani,chicken or lamb,500,grams
aago biryani,rice,2,cups
aago hyderabadi chicken,onions,2,medium
aago hyderabadi chicken,oil,3,tablespoons
aago hyderabadi chicken,turmeric powder,1,teaspoon
aago hyderabadi chicken,red chili powder,1,teaspoon
aago hyderabadi chicken,garam masala,1,teaspoon
aago hyderabadi chicken,chicken,500,grams
aago hyderabadi chicken,green chilies,2,chopped
aago hyderabadi chicken,coriander powder,1,teaspoon
aago hyderabadi chicken,tomatoes,3,medium
aago hyderabadi chicken,yogurt,1,cup
aago hyderabadi chicken,salt,1,teaspoon
aago hyderabadi chicken,ginger-garlic paste,2,tablespoons
aago mix grill,lamb,200,g
aago mix grill,Nepali spices,1,tbsp
aago mix grill,pork,200,g
aago mix grill,chicken,200,g
aago non vegetable,turmeric powder,1,teaspoon
aago non vegetable,chili powder,1,tablespoon
aago non vegetable,ginger-garlic paste,2,tablespoons
aago non vegetable,oil,2,tablespoons
aago non vegetable,cumin powder,1,tablespoon
aago non vegetable,chicken or goat meat,500,grams
aago non vegetable,salt,1,teaspoon
aago non vegetable,coriander powder,1,tablespoon
aago non vegetable,yogurt,100,grams
aago vegetable,garlic,3,cloves
aago vegetable,potatoes,2,medium
aago vegetable,coriander powder,1,teaspoon
aago vegetable,turmeric powder,1,teaspoon
aago vegetable,onion,1,medium
aago vegetable,cauliflower,1,small head
aago vegetable,salt,1,teaspoon
aago vegetable,oil,2,tablespoons
aago vegetable,tomatoes,2,medium
aago vegetable,green beans,1,cup
aago vegetable,cumin powder,1,teaspoon
aago vegetable,ginger,1,inch piece
aakkoset,vanilla custard,2,cups
aakkoset,fresh berries,1,cup
aakkoset,sponge cake,1,whole
aakkoset,powdered sugar,1,tablespoon
aalborg,beef,500,grams
aalborg,carrots,200,grams
aalborg,potatoes,300,grams
aalborg,onions,150,grams
aalo mutter curry,tomatoes,3,medium
aalo mutter curry,garam masala,1,tsp
aalo mutter curry,turmeric powder,1,tsp
aalo mutter curry,green chilies,2,pieces
aalo mutter curry,cumin powder,1,tsp
aalo mutter curry,onion,1,medium
aalo mutter curry,salt,1,tsp
aalo mutter curry,coriander powder,1,tbsp
aalo mutter curry,oil,2,tbsp
aalo mutter curry,garlic,3,cloves
aalo mutter curry,ginger,1,inch
aalo mutter curry,potatoes,2,cups
aalo mutter curry,peas,1,cup
aalo mutter korma,onion,1,large
aalo mutter korma,ginger,1,inch piece
aalo mutter korma,turmeric powder,1,tsp
aalo mutter korma,oil,2,tbsp
aalo mutter korma,peas,1,cup
aalo mutter korma,garlic,4,cloves
aalo mutter korma,coriander powder,1,tsp
aalo mutter korma,tomato,2,medium
aalo mutter korma,cream,1,cup
aalo mutter korma,red chili powder,1,tsp
